Country or Area,M49 code,ISO-alpha3 code,_ab_source_file_last_modified,_ab_source_file_url
Equatorial Guinea,226.0,GNQ,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Eritrea,232.0,ERI,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Estonia,233.0,EST,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Eswatini,748.0,SWZ,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Ethiopia,231.0,ETH,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Falkland Islands (Malvinas),238.0,FLK,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Faroe Islands,234.0,FRO,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Fiji,242.0,FJI,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Finland,246.0,FIN,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
France,250.0,FRA,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
French Guiana,254.0,GUF,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
French Polynesia,258.0,PYF,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
French Southern Territories,260.0,ATF,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Gabon,266.0,GAB,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Gambia,270.0,GMB,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Georgia,268.0,GEO,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Germany,276.0,DEU,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Ghana,288.0,GHA,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Gibraltar,292.0,GIB,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Greece,300.0,GRC,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Greenland,304.0,GRL,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Grenada,308.0,GRD,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Guadeloupe,312.0,GLP,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Guam,316.0,GUM,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Guatemala,320.0,GTM,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Guernsey,831.0,GGY,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Guinea,324.0,GIN,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Guinea-Bissau,624.0,GNB,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Guyana,328.0,GUY,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Haiti,332.0,HTI,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Heard Island and McDonald Islands,334.0,HMD,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Holy See,336.0,VAT,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Honduras,340.0,HND,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Hungary,348.0,HUN,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Iceland,352.0,ISL,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
India,356.0,IND,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Indonesia,360.0,IDN,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Iran (Islamic Republic of),364.0,IRN,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Iraq,368.0,IRQ,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Ireland,372.0,IRL,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Isle of Man,833.0,IMN,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Israel,376.0,ISR,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Italy,380.0,ITA,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Jamaica,388.0,JAM,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Japan,392.0,JPN,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Jersey,832.0,JEY,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Jordan,400.0,JOR,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Kazakhstan,398.0,KAZ,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Kenya,404.0,KEN,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Kiribati,296.0,KIR,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Kuwait,414.0,KWT,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Kyrgyzstan,417.0,KGZ,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Lao People's Democratic Republic,418.0,LAO,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Latvia,428.0,LVA,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Lebanon,422.0,LBN,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Lesotho,426.0,LSO,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Liberia,430.0,LBR,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Libya,434.0,LBY,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Liechtenstein,438.0,LIE,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Lithuania,440.0,LTU,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Luxembourg,442.0,LUX,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Madagascar,450.0,MDG,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Malawi,454.0,MWI,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Malaysia,458.0,MYS,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Maldives,462.0,MDV,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Mali,466.0,MLI,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Malta,470.0,MLT,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Marshall Islands,584.0,MHL,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Martinique,474.0,MTQ,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
